id,toa_utc,fluence,bandwidth,cent_freq,2bit-wb-tag,burst-index,telescope,toa_start,toa_end,exposure_since_previous_h,exposure_until_next_h
B02-wb,60355.64416656103,16.66,128.0,1271.0,0.0,2,wb,NA,NA,NA,12.385206277482212
B03-st,60357.34378168892,20.15,98.0,1381.0,0.0,3,st,60355.64416656103,60357.34378168892,12.385206277482212,2.27191982511431
B04-st,60357.43852301088,25.1,53.0,1381.0,0.0,4,st,60357.34378168892,60357.43852301088,2.27191982511431,35.93587394611677
B05-st,60361.54750886334,35.49,98.0,1381.0,0.0,5,st,60357.43852301088,60361.54750886334,35.93587394611677,26.123037655488588
B06-st,60366.34614858078,16.72,98.0,1381.0,0.0,6,st,60361.54750886334,60366.34614858078,26.123037655488588,24.604159254929982
B07-wb,60369.29523706191,17.45,128.0,1271.0,1.0,7,wb,60366.34614858078,60369.29523706191,24.604159254929982,0.9782382840639912
B08-st,60369.33599699041,12.74,98.0,1381.0,0.0,8,st,60369.29523706191,60369.33599699041,0.9782382840639912,0.8345190498512238
B09-wb,60369.37076861749,7.34,77.0,1271.0,0.0,9,wb,60369.33599699041,60369.37076861749,0.8345190498512238,7.133859677764121
B10-wb,60370.2667902702,16.21,128.0,1271.0,1.0,10,wb,60369.37076861749,60370.2667902702,7.133859677764121,0.654438401281368
B11-wb,60370.29405853692,8.67,128.0,1271.0,0.0,11,wb,60370.2667902702,60370.29405853692,0.654438401281368,3.0461183408042416
B12-wb,60370.420980134455,15.48,128.0,1271.0,0.0,12,wb,60370.29405853692,60370.420980134455,3.0461183408042416,0.7449296526610851
B13-wb,60370.45201886998,42.4,93.0,1271.0,0.0,13,wb,60370.420980134455,60370.45201886998,0.7449296526610851,0.13756087725050747
B14-wb,60370.4577505732,11.13,128.0,1271.0,0.0,14,wb,60370.45201886998,60370.4577505732,0.13756087725050747,4.7992000064696185
B15-st,60371.27989818374,11.29,98.0,1381.0,0.0,15,st,60370.4577505732,60371.27989818374,4.7992000064696185,15.1641237270087
B16-st,60372.51138014962,14.52,66.0,1381.0,0.0,16,st,60371.27989818374,60372.51138014962,15.1641237270087,1.40150530426763
B17-wb,60373.25807439553,11.49,128.0,1271.0,1.0,17,wb,60372.51138014962,60373.25807439553,1.40150530426763,0.729834065947216
B18-wb,60373.28848414828,15.4,128.0,1271.0,0.0,18,wb,60373.25807439553,60373.28848414828,0.729834065947216,1.640613497234881
B19-wb,60373.35687176086,22.15,128.0,1271.0,0.0,19,wb,60373.28848414828,60373.35687176086,1.640613497234881,3.1379910290124826
B20-st,60373.48767547448,20.95,98.0,1381.0,0.0,20,st,60373.35687176086,60373.48767547448,3.1379910290124826,1.3912688157870434
B21-st,60373.54564500847,50.08,98.0,1381.0,0.0,21,st,60373.48767547448,60373.54564500847,1.3912688157870434,4.155828896386083
B22-st,60374.31819053136,28.42,98.0,1381.0,0.0,22,st,60373.54564500847,60374.31819053136,4.155828896386083,9.669672141841147
B23-st,60375.29803356415,29.34,98.0,1381.0,0.0,23,st,60374.31819053136,60375.29803356415,9.669672141841147,0.13784085464430973
B24-st,60375.30377693309,17.27,60.0,1381.0,0.0,24,st,60375.29803356415,60375.30377693309,0.13784085464430973,1.1547238987404853
B25-wb,60375.35196013167,21.19,128.0,1271.0,0.0,25,wb,60375.30377693309,60375.35196013167,1.1547238987404853,0.7421283523435704
B26-wb,60375.382882146354,26.11,128.0,1271.0,0.0,26,wb,60375.35196013167,60375.382882146354,0.7421283523435704,0.04647472029319033
B27-wb,60375.38481859303,17.39,128.0,1271.0,1.0,27,wb,60375.382882146354,60375.38481859303,0.04647472029319033,0.38569631741847843
B28-wb,60375.400889272925,31.05,95.0,1271.0,0.0,28,wb,60375.38481859303,60375.400889272925,0.38569631741847843,0.09491126309148967
B29-wb,60375.40484390889,32.37,74.0,1271.0,0.0,29,wb,60375.400889272925,60375.40484390889,0.09491126309148967,0.586682689783629
B30-wb,60375.42928902096,42.07,73.0,1271.0,0.0,30,wb,60375.40484390889,60375.42928902096,0.586682689783629,0.044110211776569486
B31-wb,60375.43112694645,16.15,128.0,1271.0,1.0,31,wb,60375.42928902096,60375.43112694645,0.044110211776569486,0.4169550044462085
B32-wb,60375.44850007164,10.33,128.0,1271.0,0.0,32,wb,60375.43112694645,60375.44850007164,0.4169550044462085,0.09042345854686573
B33-wb,60375.452267715744,17.17,25.0,1228.0,0.0,33,wb,60375.44850007164,60375.452267715744,0.09042345854686573,0.4892244378570467
B34-st,60375.47265206732,21.13,61.0,1381.0,0.0,34,st,60375.452267715744,60375.47265206732,0.4892244378570467,6.9706343648722395
B35-st,60376.32179919394,42.42,98.0,1381.0,0.0,35,st,60375.47265206732,60376.32179919394,6.9706343648722395,0.2367329011321999
B36-st,60376.33166306482,36.76,98.0,1381.0,0.0,36,st,60376.32179919394,60376.33166306482,0.2367329011321999,8.79663340758998
B37-st,60377.25332420013,35.93,98.0,1381.0,0.0,37,st,60376.33166306482,60377.25332420013,8.79663340758998,1.4824975447263569
B38-st,60377.31509493116,117.6,98.0,1381.0,0.0,38,st,60377.25332420013,60377.31509493116,1.4824975447263569,1.3945535573875532
B39-st,60377.37326059496,25.97,98.0,1381.0,0.0,39,st,60377.31509493116,60377.37326059496,1.3945535573875532,1.533743338251952
B40-st,60377.43716656739,20.77,98.0,1381.0,0.0,40,st,60377.37326059496,60377.43716656739,1.533743338251952,0.5193531416589394
B41-st,60377.45883144421,26.76,98.0,1381.0,0.0,41,st,60377.43716656739,60377.45883144421,0.5193531416589394,4.021073686948512
B42-st,60377.62641291368,12.48,98.0,1381.0,0.0,42,st,60377.45883144421,60377.62641291368,4.021073686948512,0.8518967143027112
B43-st,60378.2170109091,21.39,98.0,1381.0,0.0,43,st,60377.62641291368,60378.2170109091,0.8518967143027112,2.312635973095894
B44-st,60378.313370741314,210.7,68.0,1381.0,0.0,44,st,60378.2170109091,60378.313370741314,2.312635973095894,3.5283482643426396
B45-st,60378.46047526318,12.92,98.0,1381.0,0.0,45,st,60378.313370741314,60378.46047526318,3.5283482643426396,1.2739304532296956
B46-wb,60378.51355569873,19.62,128.0,1271.0,1.0,46,wb,60378.46047526318,60378.51355569873,1.2739304532296956,1.0394076567026787
B47-wb,60378.55686435109,25.16,128.0,1271.0,1.0,47,wb,60378.51355569873,60378.55686435109,1.0394076567026787,3.3961670900462195
B49-st,60379.25557460732,14.75,98.0,1381.0,0.0,49,st,60378.55686435109,60379.25557460732,3.3961670900462195,0.11140738148242235
B50-st,60379.26021658155,23.6,98.0,1381.0,0.0,50,st,60379.25557460732,60379.26021658155,0.11140738148242235,0.2229953280184418
B51-st,60379.26950805355,16.72,98.0,1381.0,0.0,51,st,60379.26021658155,60379.26950805355,0.2229953280184418,0.016423667140770704
B52-wb,60379.27019237301,12.1,128.0,1271.0,1.0,52,wb,60379.26950805355,60379.27019237301,0.016423667140770704,1.9565265853889287
B53-st,60379.35177074785,30.96,98.0,1381.0,0.0,53,st,60379.27019237301,60379.35177074785,1.9565265853889287,1.1768592279986478
B54-st,60379.40080654902,28.46,67.0,1381.0,0.0,54,st,60379.35177074785,60379.40080654902,1.1768592279986478,3.3350937144714408
B55-st,60379.53979144154,37.3,66.0,1381.0,0.0,55,st,60379.40080654902,60379.53979144154,3.3350937144714408,3.1829534777789377
B56-o8,60380.22753164882,31.86,128.0,1424.0,0.0,56,o8,60379.53979144154,60380.22753164882,3.1829534777789377,1.1656033481704071
B57-st,60380.276098455,87.03,73.0,1381.0,0.0,57,st,60380.22753164882,60380.276098455,1.1656033481704071,2.9010719804791734
B58-st,60380.39697645418,20.79,98.0,1381.0,0.0,58,st,60380.276098455,60380.39697645418,2.9010719804791734,0.0697825311217457
B59-st,60380.39988405965,53.35,98.0,1381.0,0.0,59,st,60380.39697645418,60380.39988405965,0.0697825311217457,0.7695651459507644
B60-st,60380.43194927406,668.94,73.0,1381.0,0.0,60,st,60380.39988405965,60380.43194927406,0.7695651459507644,0.3078146920306608
B61-tr,60380.44477488623,23.85,128.0,1414.0,0.0,61,tr,60380.43194927406,60380.44477488623,0.3078146920306608,0.1767718144110404
B63-o8,60380.4521403785,194.56,128.0,1424.0,0.0,63,o8,60380.44477488623,60380.4521403785,0.1767718144110404,1.404492650181055e-05
B62-st,60380.4521409637,144.71,98.0,1381.0,0.0,62,st,60380.4521403785,60380.4521409637,1.404492650181055e-05,0.26287525438237935
B64-tr,60380.4630940993,15.19,128.0,1414.0,0.0,64,tr,60380.4521409637,60380.4630940993,0.26287525438237935,0.17652193852700293
B65-o8,60380.47044918007,7.09,90.0,1424.0,0.0,65,o8,60380.4630940993,60380.47044918007,0.17652193852700293,1.356293136428576
B67-o8,60380.52696139409,24.11,128.0,1424.0,0.0,67,o8,60380.47044918007,60380.52696139409,1.356293136428576,3.750203177332878e-06
B66-tr,60380.52696155035,28.53,128.0,1414.0,0.0,66,tr,60380.52696139409,60380.52696155035,3.750203177332878e-06,0.0572175137931481
B68-tr,60380.529345613424,5.78,128.0,1414.0,0.0,68,tr,60380.52696155035,60380.529345613424,0.0572175137931481,0.49950542114675045
B70-o8,60380.550158339305,9.16,128.0,1424.0,0.0,70,o8,60380.529345613424,60380.550158339305,0.49950542114675045,0.11435328639345244
B71-o8,60380.55492305957,17.37,128.0,1424.0,0.0,71,o8,60380.550158339305,60380.55492305957,0.11435328639345244,0.2006256419699639
B72-o8,60380.56328246132,5.25,92.0,1424.0,0.0,72,o8,60380.55492305957,60380.56328246132,0.2006256419699639,0.7905131164588965
B73-st,60380.59622050784,42.19,98.0,1381.0,0.0,73,st,60380.56328246132,60380.59622050784,0.7905131164588965,1.0031230071326718
B74-st,60381.19497111216,27.55,58.0,1381.0,0.0,74,st,60380.59622050784,60381.19497111216,1.0031230071326718,0.28258378920145333
B75-st,60381.20674543671,27.39,63.0,1381.0,0.0,75,st,60381.19497111216,60381.20674543671,0.28258378920145333,0.29791345522971824
B76-st,60381.21915849735,30.41,98.0,1381.0,0.0,76,st,60381.20674543671,60381.21915849735,0.29791345522971824,0.8547157657449134
B77-o8,60381.254771654254,17.47,128.0,1424.0,0.0,77,o8,60381.21915849735,60381.254771654254,0.8547157657449134,0.24071305413963273
B78-o8,60381.26480136484,11.82,128.0,1424.0,0.0,78,o8,60381.254771654254,60381.26480136484,0.24071305413963273,0.5248473490937613
B79-o8,60381.28667000439,8.18,128.0,1424.0,0.0,79,o8,60381.26480136484,60381.28667000439,0.5248473490937613,0.4257810136768967
B80-st,60381.30441087996,132.58,98.0,1381.0,0.0,80,st,60381.28667000439,60381.30441087996,0.4257810136768967,0.7566321546910331
B82-o8,60381.33593721974,8.32,128.0,1424.0,0.0,82,o8,60381.30441087996,60381.33593721974,0.7566321546910331,1.6927281667012721
B83-o8,60381.40646756002,8.53,128.0,1424.0,0.0,83,o8,60381.33593721974,60381.40646756002,1.6927281667012721,0.31395068939309567
B84-o8,60381.41954883874,10.1,128.0,1424.0,0.0,84,o8,60381.40646756002,60381.41954883874,0.31395068939309567,0.4982917706365697
B85-o8,60381.44031099585,11.65,128.0,1424.0,0.0,85,o8,60381.41954883874,60381.44031099585,0.4982917706365697,0.12817407870898023
B86-o8,60381.445651582464,9.65,128.0,1424.0,0.0,86,o8,60381.44031099585,60381.445651582464,0.12817407870898023,0.09774993953760713
B87-tr,60381.44972449661,32.88,128.0,1414.0,0.0,87,tr,60381.445651582464,60381.44972449661,0.09774993953760713,0.5341631946503185
B88-st,60381.47198129639,16.37,64.0,1381.0,0.0,88,st,60381.44972449661,60381.47198129639,0.5341631946503185,0.37513595446944237
B89-o8,60381.48761196116,4.67,128.0,1424.0,0.0,89,o8,60381.47198129639,60381.48761196116,0.37513595446944237,0.9829145710682496
B90-o8,60381.52856673495,13.24,128.0,1424.0,0.0,90,o8,60381.48761196116,60381.52856673495,0.9829145710682496,0.4075545233208686
B91-o8,60381.545548173424,5.07,128.0,1424.0,0.0,91,o8,60381.52856673495,60381.545548173424,0.4075545233208686,1.54733600205509
B92-o8,60381.61002050684,9.18,128.0,1424.0,0.0,92,o8,60381.545548173424,60381.61002050684,1.54733600205509,1.1628743962501176
B93-o8,60382.21356914982,15.01,128.0,1424.0,0.0,93,o8,60381.61002050684,60382.21356914982,1.1628743962501176,0.036812260339502245
